iter	Logloss
0	0.6690341228
1	0.6530337995
2	0.632342621
3	0.6133044759
4	0.6002880695
5	0.5863742899
6	0.5621892358
7	0.5443042225
8	0.5318684852
9	0.5162805423
10	0.4992559936
11	0.4884892633
12	0.4757967901
13	0.465979395
14	0.4559182061
15	0.4438567674
16	0.4371291725
17	0.429226196
18	0.416847441
19	0.4056979338
20	0.3978314167
21	0.3842041928
22	0.3770786598
23	0.3707707797
24	0.3620782447
25	0.3532207325
26	0.3449262714
27	0.3419578987
28	0.3363674403
29	0.3314332186
30	0.3253325908
31	0.3176182839
32	0.3111729134
33	0.3036480792
34	0.2947755807
35	0.2890634322
36	0.2805652148
37	0.275840796
38	0.270173641
39	0.2657385893
40	0.2608958594
41	0.2567843465
42	0.2525537682
43	0.2479167154
44	0.2431284398
45	0.2361606137
46	0.2321135648
47	0.2285414649
48	0.2254239317
49	0.2184973099
50	0.214582144
51	0.2104422425
52	0.2061374648
53	0.202281144
54	0.1986767932
55	0.1941050341
56	0.1914117627
57	0.1888067419
58	0.186355325
59	0.1827859056
60	0.1784297351
61	0.1744956018
62	0.1714371324
63	0.16619973
64	0.1632160904
65	0.1595025214
66	0.1558262437
67	0.1534215995
68	0.1515558418
69	0.1488248819
70	0.1465138509
71	0.1454131346
72	0.1431339691
73	0.1392391885
74	0.1380876121
75	0.1348714154
76	0.1314612044
77	0.1292198261
78	0.1268994128
79	0.1253502199
80	0.1236726695
81	0.1215830815
82	0.1188336093
83	0.117084534
84	0.1156482617
85	0.1132176473
86	0.1118049282
87	0.1102324003
88	0.1084175212
89	0.1068203373
90	0.1050517903
91	0.1025592414
92	0.100746605
93	0.09907856228
94	0.09742741903
95	0.09583456856
96	0.09390769617
97	0.09253912015
98	0.09053534948
99	0.08940477561
100	0.08828658033
101	0.08616167244
102	0.08415058983
103	0.08182316597
104	0.0804479941
105	0.07944709515
106	0.07776438403
107	0.07661808944
108	0.07477577079
109	0.07358614787
110	0.07244768356
111	0.07107280682
112	0.07007112138
113	0.06874966419
114	0.06721899989
115	0.06613117418
116	0.0647692339
117	0.06335477841
118	0.06223343553
119	0.06138225946
120	0.05988802171
121	0.05916939018
122	0.05794149204
123	0.05645576217
124	0.05536329247
125	0.05443719374
126	0.05327706076
127	0.05201458853
128	0.05114297818
129	0.05037776894
130	0.04935781694
131	0.04820481855
132	0.04720922008
133	0.04623850936
134	0.04559356564
135	0.04473571263
136	0.04410341659
137	0.04327836412
138	0.04264594197
139	0.04177320118
140	0.04117598099
141	0.04049337812
142	0.0397019501
143	0.03918538241
144	0.0385719858
145	0.03809949169
146	0.03740729966
147	0.03665705821
148	0.03613566592
149	0.03551209897
150	0.03491292648
151	0.03430724847
152	0.03361279951
153	0.0331073125
154	0.03254463407
155	0.03213018266
156	0.03156920059
157	0.03110886068
158	0.03069194577
159	0.03024731935
160	0.02992874095
161	0.02960814837
162	0.02917009994
163	0.02872329376
164	0.02842138643
165	0.02805718463
166	0.02770421436
167	0.02739388509
168	0.02703325948
169	0.02663620485
170	0.0263930562
171	0.0260169716
172	0.02565673403
173	0.02539605743
174	0.02500734765
175	0.02473322315
176	0.02447099826
177	0.02393182734
178	0.02350464557
179	0.02318981842
180	0.02279799808
181	0.02246446509
182	0.02216756401
183	0.02190068506
184	0.0216837663
185	0.02139043631
186	0.02120358016
187	0.02100738678
188	0.02077943887
189	0.02045959347
190	0.02010376234
191	0.01990299052
192	0.01965278203
193	0.01942635811
194	0.0192342605
195	0.01895992447
196	0.01869327853
197	0.01847659728
198	0.01830829874
199	0.01810857587
200	0.01786735256
201	0.01770389292
202	0.01750553114
203	0.01727999403
204	0.01711146994
205	0.0168499
206	0.01672760642
207	0.01660270017
208	0.01641345143
209	0.01627168626
210	0.01616333006
211	0.01601798225
